"White Rat";"4";"1";"0";"2";"2";"22";"74";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Spiny Armoredillo";"4";"1";"0";"2";"2";"13";"78";"0.06";"0.7";"0.8";"0.7";"0.38";"0.33";"0.7";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Drudge Prowler";"4";"1";"0";"2";"0";"1";"71";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Gnawer Shreth";"4";"1";"0";"2";"2";"88";"70";"0.46";"0.28";"0.8";"3.45";"0.35";"0.8";"0.34";"0.9";"0.9";"1";"0.8";"1.42";"1";"0.85"
"Tan Rat";"4";"1";"0";"2";"2";"12";"75";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Russet Rat";"4";"1";"0";"2";"2";"41";"74";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Mite Snippet";"4";"1";"0";"2";"2";"4";"88";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Young Mosswart";"4";"1";"0";"2";"2";"16";"92";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Drudge Skulker";"4";"1";"0";"2";"2";"0";"45";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.36";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Flicker";"4";"1";"0";"0";"4";"0";"68";"0.67";"0.9";"0.9";"1";"100";"0.98";"2.15";"0.65";"0.65";"0.65";"0";"1.1";"0.65";"0.65"
"Skeleton";"4";"1";"0";"2";"2";"0";"86";"0.12";"0.55";"0.5";"0.21";"0.59";"0.34";"0.72";"0.75";"0.6";"1";"0.9";"0.65";"0.75";"0.75"
"Static";"4";"1";"0";"0";"4";"0";"68";"0.67";"0.9";"0.9";"0.98";"2.15";"1";"100";"0.65";"0.65";"0.65";"0.65";"0.65";"1.1";"0"
"Shadow Sprite";"4";"1";"0";"0";"4";"4";"100";"1";"0.36";"0.46";"0.54";"1";"0.13";"0.36";"1";"0.85";"0.9";"1";"0.5";"0.65";"0.85"
"Small Shadow Spire Child";"4";"1";"0";"1";"2";"0";"220";"1";"0.61";"0.74";"0.3";"1";"0.38";"0.61";"1";"0.5";"0.67";"1";"0.1";"0.2";"0.5"
"Scavenger Ursuin";"4";"1";"0";"2";"2";"0";"97";"0.12";"0.8";"0.12";"0.12";"0.34";"0.12";"0.12";"0.75";"1";"0.75";"0.86";"0.75";"0.75";"0.75"
"Rickety Scarecrow";"4";"1";"0";"0";"4";"0";"111";"0.9";"0.19";"1.5";"0.19";"0.7";"0.19";"0.9";"1";"0.72";"1";"1";"0.72";"0.72";"1"
"Small Shadow Child";"4";"1";"0";"1";"2";"12";"220";"1";"0.61";"0.74";"0.3";"1";"0.38";"0.61";"1";"0.5";"0.67";"1";"0.1";"0.2";"0.5"
"Carenzi Sentry";"4";"1";"0";"2";"2";"0";"142";"0.9";"1.2";"0.8";"1";"0.6";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Carenzi Sentry";"4";"1";"0";"2";"2";"3";"142";"0.9";"1.2";"0.8";"1";"0.6";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Young Banderling";"4";"1";"0";"2";"2";"0";"81";"0.26";"0.03";"0.11";"0.26";"0.7";"0.03";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Drudge Skulker";"4";"1";"0";"2";"2";"0";"45";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.36";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Mite Snippet";"4";"1";"0";"2";"2";"0";"88";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Young Mosswart";"4";"1";"0";"2";"2";"0";"92";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Gnawer Shreth";"4";"1";"0";"2";"2";"0";"70";"0.46";"0.28";"0.8";"3.45";"0.35";"0.8";"0.34";"0.9";"0.9";"1";"0.8";"1.42";"1";"0.85"
"Stringent";"4";"1";"0";"0";"4";"1";"64";"0.67";"0.9";"0.9";"1";"1";"100";"1";"0.6";"0.65";"0.65";"0.75";"0.5";"0";"1"
"Flake";"4";"1";"0";"0";"4";"2";"68";"0.67";"0.9";"0.9";"100";"0.75";"1";"1";"0.65";"0.65";"0.65";"1.1";"0";"0.65";"0.65"
"Brown Armoredillo Pup";"4";"1";"0";"2";"2";"0";"82";"0.15";"0.7";"0.18";"0.71";"0.48";"0.39";"0.71";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Spikey Armoredillo Pup";"5";"1";"0";"2";"2";"0";"158";"0.15";"0.7";"0.18";"0.71";"0.48";"0.39";"0.71";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Carrion Shrethlet";"5";"1";"0";"2";"2";"0";"150";"0.34";"0.18";"0.8";"2.15";"0.98";"0.8";"0.81";"0.8";"0.8";"1";"0.8";"1.42";"1";"0.85"
"Rust Gromnie";"5";"1";"0";"2";"2";"1";"213";"1";"1";"1";"0.46";"0.48";"1";"1";"1";"1";"1";"0.83";"0.7";"1";"1"
"Drudge Skulker";"5";"1";"0";"2";"2";"270";"45";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.36";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Red Phyntos Wasp";"5";"1";"0";"0";"4";"24";"87";"0.8";"0.8";"0.5";"0.35";"0.28";"0.28";"0.28";"1";"1";"1";"0.9";"0.8";"0.9";"0.9"
"Brown Armoredillo";"5";"1";"0";"2";"2";"0";"168";"0.15";"0.7";"0.18";"0.71";"0.48";"0.39";"0.71";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Grey Rat";"5";"1";"0";"2";"2";"26";"159";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Reedshark Pup";"5";"1";"0";"2";"2";"23";"157";"0.13";"0.3";"0.7";"0.12";"0.7";"0.6";"0.3";"0.6";"0.75";"1";"1";"0.66";"1";"0.75"
"Young Banderling";"5";"1";"0";"2";"2";"59";"81";"0.26";"0.03";"0.11";"0.26";"0.7";"0.03";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Mite Scion";"5";"1";"0";"2";"2";"0";"159";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Ethereal Wisp";"5";"1";"0";"0";"4";"11";"225";"0.7";"0.8";"0.7";"10";"0.24";"0.13";"0.18";"1";"1";"1";"0.55";"0";"0.4";"0.8"
"K'nath Z'bog";"5";"1";"0";"0";"4";"5";"192";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"0.75";"1";"1"
"Skeleton";"5";"1";"0";"2";"2";"102";"57";"0.12";"0.55";"0.5";"0.21";"0.59";"0.34";"0.72";"0.75";"0.6";"1";"0.9";"0.65";"0.75";"0.75"
"Outcast Monouga";"5";"1";"0";"2";"2";"25";"148";"0.42";"0.59";"0.46";"0.6";"0.46";"0.18";"0.5";"0.8";"0.9";"0.7";"0.7";"1";"0.8";"0.8"
"Old Bones";"5";"1";"0";"2";"0";"1";"105";"0.12";"0.55";"0.5";"0.21";"0.59";"0.34";"0.72";"0.75";"0.6";"1";"0.9";"0.65";"0.75";"0.75"
"Drudge Slinker";"5";"1";"0";"2";"2";"1";"113";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Marsh Siraluun";"5";"1";"0";"2";"2";"3";"128";"1";"1.2";"0.8";"1";"1";"1";"1";"0.9";"0.7";"1";"0.8";"1";"1";"0.6"
"Drudge Slinker";"5";"1";"0";"2";"2";"0";"113";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Mite Scion";"5";"1";"0";"2";"2";"0";"159";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Old Bones";"5";"1";"0";"2";"2";"0";"157";"0.12";"0.55";"0.5";"0.21";"0.59";"0.34";"0.72";"0.75";"0.6";"1";"0.9";"0.65";"0.75";"0.75"
"Reedshark Stripling";"5";"1";"0";"2";"2";"0";"154";"0.13";"0.3";"0.7";"0.12";"0.7";"0.6";"0.3";"0.6";"0.75";"1";"1";"0.66";"1";"0.75"
"Drudge Slinker";"6";"1";"0";"2";"2";"101";"113";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Slinker";"6";"1";"0";"2";"2";"14";"113";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Gromnie";"6";"1";"0";"2";"2";"0";"120";"0.9";"1";"1.1";"0.4";"0.4";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Stony Armoredillo Pup";"7";"1";"0";"2";"2";"0";"285";"0.28";"0.7";"0.31";"0.72";"0.61";"0.47";"0.72";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Blood Shrethlet";"7";"1";"0";"2";"2";"0";"325";"0.05";"0.36";"0.8";"0.6";"0.22";"0.8";"0.28";"0.58";"0.75";"1";"0.5";"1";"1";"0.6"
"Drudge Prowler";"7";"1";"0";"2";"2";"1";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"10";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"19";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"3";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"7";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"11";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"5";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"6";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"12";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"6";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"4";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Drudge Prowler";"7";"1";"0";"2";"2";"6";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Silver Legion Quartermaster";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Creeper Mosswart";"7";"1";"0";"2";"2";"35";"279";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Mite Scamp";"7";"1";"0";"2";"2";"0";"319";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Spikey Armoredillo";"7";"1";"0";"2";"2";"4";"326";"0.15";"0.7";"0.18";"0.71";"0.48";"0.39";"0.71";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Drudge Prowler";"7";"1";"0";"2";"2";"196";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Brown Rat";"7";"1";"0";"2";"2";"29";"304";"1";"0.5";"0.5";"1";"0.4";"0.8";"0.8";"0.6";"1.6";"1.6";"2.1";"0.6";"0.85";"0.85"
"Drudge Sneaker";"7";"1";"0";"2";"2";"113";"136";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Mite Digger";"7";"1";"0";"2";"2";"0";"305";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Mosswart Feeder";"7";"1";"0";"2";"2";"47";"307";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Drudge Robber";"7";"1";"0";"2";"2";"30";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Mite Scamp";"7";"1";"0";"2";"2";"0";"319";"0.04";"0.02";"0.02";"0.12";"0.5";"0.5";"0.02";"0.7";"0.8";"0.8";"1";"0.75";"1";"0.8"
"Mosswart Feeder";"7";"1";"0";"2";"2";"1";"307";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Tumerok Worker";"7";"1";"0";"1";"2";"1";"137";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"K'nath N'gell";"7";"1";"0";"0";"4";"12";"234";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"0.75";"1";"1"
"Carrion Shreth";"7";"1";"0";"2";"2";"65";"200";"0.34";"0.18";"0.8";"2.15";"0.98";"0.8";"0.81";"0.8";"0.8";"1";"0.8";"1.42";"1";"0.85"
"Drudge Prowler";"7";"1";"0";"2";"2";"1";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Drudge Prowler";"7";"1";"0";"2";"2";"0";"179";"0.9";"1";"1.1";"0.6";"0.6";"1";"0.6";"0.86";"0.75";"0.66";"1.42";"1.42";"0.75";"1.42"
"Chilly the Snowman";"7";"1";"0";"0";"4";"0";"209";"1";"1.4";"1";"0.1";"0.3";"1";"1";"1";"1";"1";"1";"0";"1";"1"
"Small Shadow Child";"7";"1";"0";"0";"4";"11";"334";"1";"0.61";"0.74";"0.3";"1";"0.38";"0.61";"1";"0.5";"0.67";"1";"0.1";"0.2";"0.5"
"Tidal Siraluun";"7";"1";"0";"2";"2";"1";"296";"1";"1.2";"0.8";"1";"1";"1";"1";"0.9";"0.7";"1";"0.8";"1";"1";"0.6"
"Red Phyntos Drone";"7";"1";"0.25";"2";"2";"0";"919";"0.8";"0.8";"0.5";"0.35";"0.28";"0.28";"0.28";"1";"1";"1";"0.9";"0.8";"0.9";"0.9"
"Creeper Mosswart";"7";"1";"0";"2";"0";"0";"186";"0.18";"0.02";"0.02";"0.34";"0.4";"0.58";"0.7";"0.8";"0.8";"0.8";"1";"0.8";"0.8";"1"
"Green Phyntos Wasp";"8";"1";"0";"0";"4";"9";"218";"0.8";"0.8";"0.5";"0.48";"0.48";"0.46";"0.48";"1";"1";"1";"0.9";"0.9";"0.75";"0.9"
"Drudge Servant";"8";"1";"0";"2";"2";"202";"362";"0.2";"0.23";"0.05";"0.6";"0.6";"0.23";"0.6";"0.86";"0.85";"0.8";"1";"1";"0.85";"1"
"Auroch Bull";"9";"1";"0";"2";"2";"1";"420";"0.34";"0.18";"0.04";"0.18";"0.7";"0.18";"0.6";"0.86";"0.8";"0.75";"1";"0.8";"0.8";"1"
"Auroch Cow";"9";"1";"0";"2";"2";"7";"445";"0.34";"0.18";"0.04";"0.18";"0.7";"0.18";"0.6";"0.86";"0.8";"0.75";"1";"0.8";"0.8";"1"
"Auroch Fire Yearling";"9";"1";"0";"2";"2";"20";"534";"0.34";"0.18";"0.04";"0.18";"100";"0.18";"0.6";"0.86";"0.8";"0.75";"0";"0.8";"0.8";"1"
"Banderling Scout";"9";"1";"0";"2";"2";"80";"369";"0.26";"0.03";"0.11";"0.26";"0.7";"0.03";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Mud Golem";"9";"1";"0";"0";"4";"35";"383";"0.79";"0.79";"0.79";"0.8";"0.7";"0.17";"0.79";"0.83";"0.83";"0.83";"1";"1";"0.33";"0.83"
"Tumerok Worker";"9";"1";"0";"2";"2";"42";"376";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Water Golem";"9";"1";"0";"0";"4";"35";"348";"0.17";"0.38";"0.17";"1";"0.5";"0.79";"0.3";"0.33";"0.5";"0.33";"1";"1";"0.83";"1"
"Banderling Scout";"9";"1";"0";"2";"2";"0";"369";"0.26";"0.03";"0.11";"0.26";"0.7";"0.03";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Stony Armoredillo";"9";"1";"0";"2";"2";"0";"356";"0.28";"0.7";"0.31";"0.72";"0.61";"0.47";"0.72";"0.53";"1";"0.5";"0.5";"0.95";"0.7";"0.95"
"Water Wisp";"9";"1";"0";"0";"4";"19";"469";"0.8";"0.9";"0.8";"10";"0.24";"0.13";"0.18";"1";"1";"1";"0.55";"0";"0.4";"0.8"
"K'nath S'tath";"9";"1";"0";"0";"4";"12";"386";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"0.75";"1";"1"
"Shallows Shark";"9";"1";"0";"2";"2";"17";"304";"0.62";"0.9";"0.62";"0.02";"1";"0.04";"0.62";"0.85";"1";"0.85";"1";"0.52";"0.45";"0.85"
"Jibrit Zefir";"9";"1";"0";"0";"4";"34";"337";"0.8";"0.18";"0.9";"0.18";"0.55";"0.38";"0.21";"1";"0.8";"1";"0.6";"0.8";"0.85";"0.65"
"Tumerok Worker";"9";"1";"0";"2";"2";"3";"376";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Blood Shreth";"9";"1";"0";"2";"2";"17";"406";"0.05";"0.36";"0.8";"0.6";"0.22";"0.8";"0.28";"0.58";"0.75";"1";"0.5";"1";"1";"0.6"
"Banderling Scout";"9";"1";"0";"2";"2";"0";"369";"0.26";"0.03";"0.11";"0.26";"0.7";"0.03";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Tumerok Worker";"9";"1";"0";"2";"2";"0";"376";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tumerok Worker";"9";"1";"0";"2";"2";"0";"376";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Suspicious Scarecrow";"9";"1";"0";"0";"4";"0";"390";"0.67";"0.1";"0.1";"0.1";"0.7";"0.1";"0.67";"0.9";"0.52";"0.52";"1";"0.52";"0.52";"0.9"
"Zirconium Golem";"9";"1";"0";"0";"4";"1";"447";"0.79";"0.79";"0.79";"0.8";"0.7";"0.17";"0.79";"0.83";"0.83";"0.83";"1";"1";"0.33";"0.83"
"Bandit";"9";"1";"0";"2";"2";"0";"243";"0.9";"1";"1.1";"0.4";"0.4";"1";"0.6";"1";"1";"1";"1";"1";"1";"1"
"Tonk Puh";"9";"1";"0";"1";"2";"0";"450";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Tumerok Worker";"9";"1";"0";"2";"2";"0";"376";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Spiny Chittick";"9";"1";"0";"2";"2";"0";"194";"0.6";"0.7";"0.8";"0.7";"0.38";"0.33";"0.7";"0.53";"1";"0.8";"0.5";"0.95";"0.7";"0.7"
"Olthoi Nymph Grub";"9";"1";"0";"2";"2";"0";"226";"1";"1";"1";"1";"1";"1.25";"1.05";"0.65";"0.7";"0.75";"0.55";"0.6";"0.25";"0.45"
"White Mattie";"9";"1";"0";"2";"2";"0";"447";"0.27";"0.71";"0.63";"0.18";"0.7";"0.49";"0.18";"0.58";"0.9";"0.86";"1";"0.4";"0.75";"0.4"
"Field Ursuin Cub";"9";"1";"0";"2";"2";"0";"485";"0.05";"0.8";"0.05";"0.05";"0.56";"0.05";"0.05";"0.58";"1";"0.58";"0.86";"0.58";"0.58";"0.58"
"Water Golem";"9";"1";"0";"0";"4";"0";"348";"0.17";"0.38";"0.17";"1";"0.5";"0.79";"0.3";"0.33";"0.5";"0.33";"1";"1";"0.83";"1"
"Blue Phyntos Wasp";"9";"1";"0";"0";"4";"0";"455";"0.8";"0.8";"0.5";"0.18";"0.46";"0.18";"0.59";"1";"1";"1";"0.7";"0.8";"0.8";"0.9"
"Water Wisp";"9";"1";"0";"0";"4";"0";"469";"0.8";"0.9";"0.8";"10";"0.24";"0.13";"0.18";"1";"1";"1";"0.55";"0";"0.4";"0.8"
"Banderling Raider";"10";"1";"0";"2";"2";"1";"358";"0.35";"0.16";"0.31";"0.35";"0.7";"0.16";"0.6";"0.76";"0.65";"0.5";"1";"0.76";"0.65";"1"
"Drudge Slave";"10";"1";"0";"2";"2";"263";"930";"0.2";"0.23";"0.05";"0.6";"0.6";"0.23";"0.6";"0.86";"0.85";"0.8";"1";"1";"0.85";"1"
"Anger";"10";"1";"0";"0";"0";"1";"0";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"1";"1";"1"
"Greed";"10";"1";"0";"0";"0";"1";"0";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"1";"1";"1"
"Jealousy";"10";"1";"0";"0";"0";"1";"0";"0.49";"0.63";"0.27";"0.49";"0.8";"0.8";"0.7";"0.75";"0.86";"0.58";"1";"1";"1";"1"
"Parfal Niffis";"10";"1";"0";"2";"2";"0";"700";"1";"0.79";"0.79";"0.96";"0.79";"0.96";"0.79";"1";"0.5";"0.5";"0.5";"0.91";"0.91";"0.5"
"Undead";"11";"1";"0";"2";"2";"136";"517";"0.8";"0.16";"0.13";"0.1";"0.5";"0.13";"0.43";"1";"0.7";"0.75";"1";"0.4";"0.75";"0.86"
"Blue Phyntos Wasp";"11";"1";"0";"0";"4";"12";"455";"0.8";"0.8";"0.5";"0.18";"0.46";"0.18";"0.59";"1";"1";"1";"0.7";"0.8";"0.8";"0.9"
"Wood Golem";"11";"1";"0";"0";"4";"30";"477";"0.79";"0.55";"0.55";"0.71";"0.3";"0.39";"0.58";"0.83";"0.8";"0.8";"1";"0.77";"0.8";"0.67"
